"Rk","Tm","Player","College","MP_T","VORP","Year"
45,"WAS","God Shammgod","Providence College",146,-0.3,1997
46,"ORL","Eric Washington","University of Alabama",2300,-1,1997
47,"POR","Alvin Williams","Villanova University",12610,3.6,1997
48,"WAS","Predrag Drobnjak","International",5542,-3.1,1997
49,"ATL","Alain Digbeu","International",NA,NA,1997
50,"ATL","Chris Crawford","Marquette University",3985,-0.9,1997
51,"LAL","DeJuan Wheat","University of Louisville",740,-0.4,1997
52,"VAN","C.J. Bruton","Indian Hills Community College",NA,NA,1997
53,"LAL","Paul Rogers","Gonzaga University",NA,NA,1997
54,"SEA","Mark Blount","University of Pittsburgh",13981,-1.4,1997
55,"BOS","Ben Pepper","International",NA,NA,1997
56,"UTA","Nate Erdmann","University of Oklahoma",NA,NA,1997
57,"CHI","Roberto Duenas","International",NA,NA,1997
1,"LAC","Michael Olowokandi","University of the Pacific",13129,-8.3,1998
2,"VAN","Mike Bibby","University of Arizona",33962,21.2,1998
3,"DEN","Raef LaFrentz","University of Kansas",14545,12.8,1998
4,"TOR","Antawn Jamison","University of North Carolina",37638,17.4,1998
5,"GSW","Vince Carter","University of North Carolina",43135,54.6,1998
6,"DAL","Robert Traylor","University of Michigan",6243,3.6,1998
7,"SAC","Jason Williams","University of Florida",23188,7.8,1998
8,"PHI","Larry Hughes","Saint Louis University",22368,9.7,1998
9,"MIL","Dirk Nowitzki","International",48673,65.9,1998
10,"BOS","Paul Pierce","University of Kansas",45880,61.5,1998
11,"DET","Bonzi Wells","Ball State University",15133,9.3,1998
12,"ORL","Michael Doleac","University of Utah",8789,-3.8,1998
13,"ORL","Keon Clark","University of Nevada, Las Vegas",7971,3.8,1998
14,"HOU","Michael Dickerson","University of Arizona",7490,1.6,1998
15,"ORL","Matt Harpring","Georgia Institute of Technology",17584,8.2,1998
16,"HOU","Bryce Drew","Valparaiso University",3970,-2.6,1998
17,"MIN","Rasho Nesterovic","International",17983,11,1998
18,"HOU","Mirsad Turkcan","International",90,-0.1,1998
19,"MIL","Pat Garrity","University of Notre Dame",11062,0.7,1998
20,"ATL","Roshown McLeod","Duke University",2130,-1.6,1998
21,"CHH","Ricky Davis","University of Iowa",21927,6.5,1998
22,"LAC","Brian Skinner","Baylor University",10910,-1,1998
23,"DEN","Tyronn Lue","University of Nebraska",12564,-2.5,1998
24,"SAS","Felipe Lopez","St. John's University",4145,-0.7,1998
25,"IND","Al Harrington","High School",28009,5.5,1998
26,"LAL","Sam Jacobson","University of Minnesota",752,-0.3,1998
27,"SEA","Vladimir Stepania","International",3726,-1.8,1998
28,"CHI","Corey Benjamin","Oregon State University",2191,-2,1998
29,"UTA","Nazr Mohammed","University of Kentucky",15891,-2,1998
30,"DAL","Ansu Sesay","University of Mississippi",1301,-0.4,1998
31,"LAL","Ruben Patterson","University of Cincinnati",15955,11.8,1998
32,"SEA","Rashard Lewis","High School",33541,34.1,1998
33,"SEA","Jelani McCoy","University of California, Los Angeles",3824,-1.1,1998
34,"CHI","Shammond Williams","University of North Carolina",5351,-0.4,1998
35,"DAL","Bruno Sundov","International",524,-1,1998
36,"SAC","Jerome James","Florida Agricultural and Mechanical University",4771,-1.3,1998
37,"PHI","Casey Shaw","University of Toledo",14,-0.1,1998
38,"NYK","DeMarco Johnson","University of North Carolina at Charlotte",37,-0.1,1998
39,"MIL","Rafer Alston","California State University, Fresno",19392,10.9,1998
40,"DET","Korleone Young","High School",15,0,1998
41,"HOU","Cuttino Mobley","University of Rhode Island",27618,15.3,1998
42,"ORL","Miles Simon","University of Arizona",19,-0.1,1998
43,"WAS","Jahidi White","Georgetown University",5913,-2.7,1998
44,"NYK","Sean Marks","University of California",2275,-1.7,1998
45,"LAL","Toby Bailey","University of California, Los Angeles",698,-0.3,1998
46,"MIN","Andrae Patterson","Indiana University",304,0.1,1998
47,"TOR","Tyson Wheeler","University of Rhode Island",3,0,1998
48,"CLE","Ryan Stack","University of South Carolina",397,-0.3,1998
49,"ATL","Cory Carr","Texas Tech University",624,-1.1,1998
50,"CHH","Andrew Betts","California State University, Long Beach",NA,NA,1998
